,chain,voter,rank,chain_price,val_num,token,delegator,voting_power,n_participation,n_match,n_pass,total_proposal,p_participation,p_passed,p_matchproposal,missblock,jailed_ratio,commission,commission_variance,asset_value,asset_variance,day,max_day,n_outlier,total_chain,total_av,proportion_av
10,akash,omniflixnetwork,11.0,1.049,93,3080481755089.0,13422,0.022133,43.0,35.0,33.0,59.0,0.7288135593220338,0.7674418604651163,0.5932203389830508,0,0.0,0.05,0.01662771271436569,3231425361088.361,5.0739270724862473e+48,1143.0,1143.0,6,10,89301978397127.27,0.036185372587359294
11,akash,agenetwork,12.0,1.049,93,3052022184680.0,185,0.021929,10.0,9.0,9.0,59.0,0.1694915254237288,0.9,0.1525423728813559,0,0.0,0.0999,0.01662771271436569,3201571271729.32,5.0739270724862473e+48,1143.0,1143.0,2,2,3252524426951.677,0.9843342743869533
12,akash,cloudmos,13.0,1.049,93,2848758201002.0,1183,0.020468,44.0,35.0,27.0,59.0,0.7457627118644068,0.6136363636363636,0.5932203389830508,1,0.0,0.05,0.01662771271436569,2988347352851.0977,5.0739270724862473e+48,745.0,1143.0,12,3,3038737151815.7046,0.9834175196974513
13,akash,ecostake,14.0,1.049,93,2785795155343.0,1074,0.020016,49.0,46.0,36.0,59.0,0.8305084745762712,0.7346938775510204,0.7796610169491526,0,0.0,0.05,0.01662771271436569,2922299117954.8066,5.0739270724862473e+48,838.0,1143.0,5,16,3.629014769545213e+24,8.052596375409705e-13
14,akash,citadel.one,15.0,1.049,93,2605218441087.0,2445,0.018718,44.0,30.0,28.0,59.0,0.7457627118644068,0.6363636363636364,0.5084745762711864,27,0.0,0.05,0.01662771271436569,2732874144700.2627,5.0739270724862473e+48,969.0,1143.0,9,36,6.377362216133211e+25,4.285273522314195e-14
15,akash,witval,16.0,1.049,93,2550163820054.0,431,0.018323,36.0,28.0,25.0,59.0,0.6101694915254238,0.6944444444444444,0.4745762711864407,1,0.0,0.05,0.01662771271436569,2675121847236.646,5.0739270724862473e+48,1143.0,1143.0,4,18,4.9914028113916485e+22,5.359458950360285e-11
16,akash,praetorapp,17.0,1.049,93,2516800855277.0,323,0.018083,34.0,31.0,26.0,59.0,0.576271186440678,0.7647058823529411,0.5254237288135594,0,0.0,0.05,0.01662771271436569,2640124097185.5728,5.0739270724862473e+48,577.0,1143.0,4,1,2640124097185.5728,1.0
17,akash,stakezone,18.0,1.049,93,2464765726390.0,902,0.017709,26.0,25.0,24.0,59.0,0.4406779661016949,0.9230769230769232,0.423728813559322,1,0.0,0.05,0.01662771271436569,2585539246983.11,5.0739270724862473e+48,1143.0,1143.0,7,2,8035487416632.41,0.3217650794438905
18,akash,activenodes,19.0,1.049,93,2342987584301.0,302,0.016834,54.0,50.0,40.0,59.0,0.9152542372881356,0.7407407407407407,0.847457627118644,1,0.0,0.08,0.01662771271436569,2457793975931.749,5.0739270724862473e+48,1143.0,1143.0,3,22,1.861048038969791e+24,1.320650474606929e-12
19,akash,quasarch,20.0,1.049,93,2260266939278.0,47,0.01624,19.0,18.0,14.0,59.0,0.3220338983050847,0.7368421052631579,0.3050847457627119,1,0.0,0.05,0.01662771271436569,2371020019302.622,5.0739270724862473e+48,275.0,1143.0,7,1,2371020019302.622,1.0
20,akash,16psyche,21.0,1.049,93,2216882568003.0,122,0.015928,36.0,36.0,31.0,59.0,0.6101694915254238,0.8611111111111112,0.6101694915254238,121,0.0,0.05,0.01662771271436569,2325509813835.147,5.0739270724862473e+48,1143.0,1143.0,6,2,2479008254149.3765,0.938080706243191
21,akash,dacm,22.0,1.049,93,2047548660830.0,171,0.014712,29.0,27.0,24.0,59.0,0.4915254237288136,0.8275862068965517,0.4576271186440678,0,0.0,0.05,0.01662771271436569,2147878545210.67,5.0739270724862473e+48,1143.0,1143.0,3,5,10736594639490.855,0.20005212242161408
22,akash,autostake,23.0,1.049,93,2029640992993.0,1148,0.014583,51.0,47.0,36.0,59.0,0.864406779661017,0.7058823529411765,0.7966101694915254,0,0.0,0.05,0.01662771271436569,2129093401649.657,5.0739270724862473e+48,866.0,1143.0,10,29,1.8096820177959577e+24,1.1765013857200813e-12
23,akash,sg1,24.0,1.049,93,1992206668837.0,2709,0.014314,27.0,15.0,14.0,59.0,0.4576271186440678,0.5185185185185185,0.2542372881355932,0,0.0,0.05,0.01662771271436569,2089824795610.013,5.0739270724862473e+48,1143.0,1143.0,14,9,4.279030231680381e+23,4.883874809151175e-12
24,akash,c29r3,25.0,1.049,93,1977374819636.0,69,0.014207,35.0,33.0,27.0,59.0,0.5932203389830508,0.7714285714285715,0.559322033898305,0,0.0,0.1,0.01662771271436569,2074266185798.164,5.0739270724862473e+48,1143.0,1143.0,1,1,2074266185798.164,1.0
25,akash,smartstake,26.0,1.049,93,1728826540332.0,525,0.012422,39.0,21.0,13.0,59.0,0.6610169491525424,0.3333333333333333,0.3559322033898305,0,0.0,0.05,0.01662771271436569,1813539040808.268,5.0739270724862473e+48,500.0,1143.0,10,17,2.015499568710538e+25,8.997962931684084e-14
26,akash,dorafactorypgs,27.0,1.049,93,1600829373338.0,7,0.011502,10.0,9.0,7.0,59.0,0.1694915254237288,0.7,0.1525423728813559,0,0.0,1.0,0.01662771271436569,1679270012631.562,5.0739270724862473e+48,102.0,1143.0,1,4,3773556981568.5596,0.4450098463687535
27,akash,decloudnodeslab,28.0,1.049,93,1498934896596.0,56,0.01077,23.0,22.0,18.0,59.0,0.3898305084745763,0.782608695652174,0.3728813559322034,60,0.0,0.05,0.01662771271436569,1572382706529.204,5.0739270724862473e+48,308.0,1143.0,4,5,1694088542425.7976,0.9281585154207344
28,akash,meria,29.0,1.049,93,1433511867047.0,647,0.0103,25.0,23.0,17.0,59.0,0.423728813559322,0.68,0.3898305084745763,1,0.0,0.05,0.01662771271436569,1503753948532.303,5.0739270724862473e+48,845.0,1143.0,17,16,2.2530672526676387e+23,6.674252385284343e-12
29,akash,lavender.fivenodes,31.0,1.049,93,1325544297981.0,1387,0.009524,33.0,30.0,25.0,59.0,0.559322033898305,0.7575757575757576,0.5084745762711864,0,0.0,0.05,0.01662771271436569,1390495968582.0688,5.0739270724862473e+48,677.0,1143.0,11,29,6.774193318897592e+24,2.05263697553933e-13
30,akash,chainodetech,32.0,1.049,93,1220562237911.0,558,0.00877,31.0,27.0,23.0,59.0,0.5254237288135594,0.7419354838709677,0.4576271186440678,0,0.0,0.05,0.01662771271436569,1280369787568.639,5.0739270724862473e+48,1143.0,1143.0,10,8,7.287691986910204e+23,1.7568933893863467e-12
31,akash,europlots,33.0,1.049,93,1036998943575.0,15,0.007451,14.0,14.0,11.0,59.0,0.2372881355932203,0.7857142857142857,0.2372881355932203,0,0.0,0.05,0.01662771271436569,1087811891810.1748,5.0739270724862473e+48,286.0,1143.0,3,1,1087811891810.1748,1.0
32,akash,armyids,34.0,1.049,93,1033717030637.0,108,0.007427,49.0,46.0,42.0,59.0,0.8305084745762712,0.8571428571428571,0.7796610169491526,0,0.0,0.0999,0.01662771271436569,1084369165138.2128,5.0739270724862473e+48,1143.0,1143.0,2,7,1346972253450.2837,0.8050419467517536
33,akash,galaxydigital,36.0,1.049,93,910061352018.0,299,0.006539,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1,0.0,0.1,0.01662771271436569,954654358266.882,5.0739270724862473e+48,551.0,1143.0,4,2,1411379223222.2927,0.6763981944465138
34,akash,validatornode,37.0,1.049,93,908348209003.0,221,0.006526,52.0,48.0,41.0,59.0,0.8813559322033898,0.7884615384615384,0.8135593220338984,0,0.0,0.05,0.01662771271436569,952857271244.147,5.0739270724862473e+48,1143.0,1143.0,18,4,967234265662.4153,0.9851359748835798
35,akash,stakelab,38.0,1.049,93,907044100523.0,913,0.006517,27.0,26.0,25.0,59.0,0.4576271186440678,0.925925925925926,0.4406779661016949,0,0.0,0.05,0.01662771271436569,951489261448.627,5.0739270724862473e+48,745.0,1143.0,10,44,9.574565079153651e+24,9.937676057163887e-14
36,akash,bi23,39.0,1.049,93,876399224848.0,65,0.006297,39.0,39.0,36.0,59.0,0.6610169491525424,0.9230769230769232,0.6610169491525424,1,0.0,0.1,0.01662771271436569,919342786865.552,5.0739270724862473e+48,1143.0,1143.0,2,3,938880315405.6819,0.979190607983204
37,akash,easy2stake,40.0,1.049,93,875536406703.0,161,0.006291,40.0,29.0,22.0,59.0,0.6779661016949152,0.55,0.4915254237288136,0,0.0,0.05,0.01662771271436569,918437690631.4468,5.0739270724862473e+48,1143.0,1143.0,16,11,13827440859181.395,0.06642137905233605
38,akash,cosmicvalidator,41.0,1.049,93,842095369703.0,415,0.00605,48.0,38.0,32.0,59.0,0.8135593220338984,0.6666666666666666,0.6440677966101694,0,0.0,0.05,0.01662771271436569,883358042818.4469,5.0739270724862473e+48,1143.0,1143.0,2,10,2.2464176256047783e+24,3.932296616398877e-13
39,akash,huobi,42.0,1.049,93,841122597814.0,356,0.006043,18.0,18.0,16.0,59.0,0.3050847457627119,0.8888888888888888,0.3050847457627119,1,0.0401639344262295,0.1,0.01662771271436569,882337605106.886,5.0739270724862473e+48,1143.0,1143.0,5,5,5135927802685.068,0.1717971200151215
40,akash,alter,43.0,1.049,93,835596443160.0,25,0.006004,11.0,10.0,9.0,59.0,0.1864406779661017,0.8181818181818182,0.1694915254237288,2,0.0,0.1,0.01662771271436569,876540668874.84,5.0739270724862473e+48,557.0,1143.0,3,4,1750922423236.623,0.5006165077573985
41,akash,nocturnallabs,45.0,1.049,93,693616858946.0,10,0.004984,21.0,20.0,17.0,59.0,0.3559322033898305,0.8095238095238095,0.3389830508474576,0,0.0,0.1,0.01662771271436569,727604085034.354,5.0739270724862473e+48,275.0,1143.0,6,6,25464826897569.383,0.028572905206114076
42,akash,spacepotato,46.0,1.049,93,679973724487.0,146,0.004886,37.0,27.0,23.0,59.0,0.6271186440677966,0.6216216216216216,0.4576271186440678,160,0.0,0.1,0.01662771271436569,713292436986.8629,5.0739270724862473e+48,867.0,1143.0,1,10,1226353815733.2212,0.581636741237189
43,akash,chainvibes,47.0,1.049,93,654295559572.0,50,0.004701,53.0,49.0,40.0,59.0,0.8983050847457628,0.7547169811320755,0.8305084745762712,0,0.0,0.05,0.01662771271436569,686356041991.028,5.0739270724862473e+48,1143.0,1143.0,5,4,850722395863.5931,0.8067920220841112
44,akash,vaultstaking,48.0,1.049,93,638459713489.0,85,0.004587,15.0,15.0,14.0,59.0,0.2542372881355932,0.9333333333333332,0.2542372881355932,2,0.0,0.05,0.01662771271436569,669744239449.9609,5.0739270724862473e+48,626.0,1143.0,9,5,3.0768036741155095e+23,2.1767532491084038e-12
45,akash,westaking,49.0,1.049,93,629305209135.0,127,0.004522,46.0,44.0,40.0,59.0,0.7796610169491526,0.8695652173913043,0.7457627118644068,2,0.0,0.1,0.01662771271436569,660141164382.615,5.0739270724862473e+48,1143.0,1143.0,4,5,10393768674341.35,0.06351316688548948
46,akash,simplystaking,50.0,1.049,93,603657942157.0,151,0.004337,51.0,46.0,37.0,59.0,0.864406779661017,0.7254901960784313,0.7796610169491526,0,0.0,0.1,0.01662771271436569,633237181322.693,5.0739270724862473e+48,1143.0,1143.0,6,15,7.807182839617178e+23,8.110956209573587e-13
47,akash,stakecito,51.0,1.049,93,593488024891.0,536,0.004264,33.0,26.0,17.0,59.0,0.559322033898305,0.5151515151515151,0.4406779661016949,0,0.0,0.05,0.01662771271436569,622568938110.6589,5.0739270724862473e+48,344.0,1143.0,11,28,9.728906630137507e+24,6.399166543361715e-14
48,akash,stakefrites,52.0,1.049,93,555186872752.0,231,0.003989,38.0,34.0,28.0,59.0,0.6440677966101694,0.7368421052631579,0.576271186440678,0,0.0,0.05,0.01662771271436569,582391029516.848,5.0739270724862473e+48,680.0,1143.0,10,7,975052159196.1162,0.5972921797301608
49,akash,blissdynamics,53.0,1.049,93,552188136933.0,312,0.003967,45.0,40.0,30.0,59.0,0.7627118644067796,0.6666666666666666,0.6779661016949152,1,0.0,0.05,0.01662771271436569,579245355642.7169,5.0739270724862473e+48,894.0,1143.0,5,2,589203580831.5502,0.9830988379690784
50,akash,hashquark,54.0,1.049,93,544732015863.0,112,0.003914,12.0,11.0,11.0,59.0,0.2033898305084746,0.9166666666666666,0.1864406779661017,1,0.0,0.05,0.01662771271436569,571423884640.287,5.0739270724862473e+48,944.0,1143.0,2,13,7.732939248240846e+23,7.389478519054437e-13
51,akash,chainlayer,55.0,1.049,93,534141164824.0,173,0.003838,48.0,41.0,35.0,59.0,0.8135593220338984,0.7291666666666666,0.6949152542372882,0,0.0,0.1,0.01662771271436569,560314081900.376,5.0739270724862473e+48,1143.0,1143.0,6,9,4.834762068414438e+23,1.1589279347600474e-12
52,akash,netadao,56.0,1.049,93,533132291504.0,135,0.003831,30.0,30.0,24.0,59.0,0.5084745762711864,0.8,0.5084745762711864,2,0.0,0.05,0.01662771271436569,559255773787.6959,5.0739270724862473e+48,456.0,1143.0,24,2,871086324193.4814,0.6420210698468924
53,akash,vixello,57.0,1.049,93,532555314069.0,41,0.003826,5.0,5.0,4.0,59.0,0.0847457627118644,0.8,0.0847457627118644,1,0.0,0.05,0.01662771271436569,558650524458.381,5.0739270724862473e+48,562.0,1143.0,1,4,1.160046713082555e+23,4.815758866933012e-12
54,akash,bridgetower,58.0,1.049,93,529117436910.0,234,0.003802,28.0,26.0,23.0,59.0,0.4745762711864407,0.8214285714285714,0.4406779661016949,1,0.0081967213114754,0.1,0.01662771271436569,555044191318.59,5.0739270724862473e+48,817.0,1143.0,2,4,1224435695558.9268,0.453306117529696
55,akash,tedcrypto.io,59.0,1.049,93,515996491378.0,74,0.003707,7.0,5.0,4.0,59.0,0.1186440677966101,0.5714285714285714,0.0847457627118644,1,0.0,0.05,0.01662771271436569,541280319455.522,5.0739270724862473e+48,66.0,1143.0,2,9,8.349495387373037e+22,6.4827908076229566e-12
56,akash,nodumpnode,60.0,1.049,93,510328842674.0,12,0.003667,29.0,28.0,20.0,59.0,0.4915254237288136,0.6896551724137931,0.4745762711864407,1,0.0,0.05,0.01662771271436569,535334955965.02594,5.0739270724862473e+48,326.0,1143.0,4,1,535334955965.02594,1.0
57,akash,wetez,61.0,1.049,93,509636029703.0,84,0.003662,30.0,27.0,26.0,59.0,0.5084745762711864,0.8666666666666667,0.4576271186440678,8,0.0,0.1,0.01662771271436569,534608195158.44696,5.0739270724862473e+48,1143.0,1143.0,2,7,2.6468649783789845e+23,2.0197788686820598e-12
58,akash,atomstaking,62.0,1.049,93,507806468612.0,15,0.003649,11.0,10.0,8.0,59.0,0.1864406779661017,0.7272727272727273,0.1694915254237288,2,0.0140845070422535,0.05,0.01662771271436569,532688985573.988,5.0739270724862473e+48,214.0,1143.0,1,2,733651805327.2861,0.7260787497637963
59,akash,blockpane,63.0,1.049,93,501486313465.0,65,0.003603,11.0,11.0,9.0,59.0,0.1864406779661017,0.8181818181818182,0.1864406779661017,1,0.0,0.05,0.01662771271436569,526059142824.785,5.0739270724862473e+48,409.0,1143.0,6,7,2710678224598.5205,0.1940691956909418
60,akash,prithvidevs,64.0,1.049,93,488877187917.0,128,0.003513,47.0,39.0,32.0,59.0,0.7966101694915254,0.6808510638297872,0.6610169491525424,1,0.0,0.05,0.01662771271436569,512832170124.933,5.0739270724862473e+48,1143.0,1143.0,7,6,953466450007.3282,0.5378607397470476
61,akash,5.0validator,65.0,1.049,93,463837928099.0,197,0.003333,29.0,24.0,17.0,59.0,0.4915254237288136,0.5862068965517241,0.4067796610169492,2,0.0,0.05,0.01662771271436569,486565986575.85095,5.0739270724862473e+48,371.0,1143.0,14,4,2.451129042954291e+23,1.985068831747038e-12
62,akash,ubikcapital,66.0,1.049,93,459875823913.0,226,0.003304,41.0,20.0,18.0,59.0,0.6949152542372882,0.4390243902439024,0.3389830508474576,0,0.0,0.05,0.01662771271436569,482409739284.73694,5.0739270724862473e+48,1143.0,1143.0,5,10,1.7581729116766547e+25,2.7438128302448606e-14
63,akash,ping,67.0,1.049,93,423022907041.0,354,0.003039,19.0,17.0,15.0,59.0,0.3220338983050847,0.7894736842105263,0.288135593220339,0,0.0,0.05,0.01662771271436569,443751029486.009,5.0739270724862473e+48,1143.0,1143.0,5,13,4.077002176571543e+22,1.0884248039797975e-11
64,akash,informalsystems,68.0,1.049,93,394949799703.0,289,0.002838,35.0,32.0,23.0,59.0,0.5932203389830508,0.6571428571428571,0.5423728813559322,1,0.0,0.05,0.01662771271436569,414302339888.44696,5.0739270724862473e+48,646.0,1143.0,23,15,5.899425884362411e+24,7.022756926002525e-14
65,akash,cryptoandcoffee,70.0,1.049,93,366237951523.0,15,0.002631,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1,0.0,0.05,0.01662771271436569,384183611147.62695,5.0739270724862473e+48,24.0,1143.0,1,1,384183611147.62695,1.0
66,akash,stakeseekerbybtcs,71.0,1.049,93,301760332266.0,105,0.002168,17.0,10.0,10.0,59.0,0.288135593220339,0.5882352941176471,0.1694915254237288,1,0.001639344262295,0.05,0.01662771271436569,316546588547.034,5.0739270724862473e+48,478.0,1143.0,2,3,4030138765829.9185,0.07854483603168146
67,akash,stakewithus,72.0,1.049,93,290763778369.0,142,0.002089,39.0,31.0,24.0,59.0,0.6610169491525424,0.6153846153846154,0.5254237288135594,0,0.0,0.05,0.01662771271436569,305011203509.081,5.0739270724862473e+48,598.0,1143.0,2,15,5.84268827521495e+24,5.2203915242741534e-14
68,akash,chainflow,73.0,1.049,93,288711140612.0,40,0.002074,23.0,15.0,14.0,59.0,0.3898305084745763,0.6086956521739131,0.2542372881355932,0,0.0,0.1,0.01662771271436569,302857986501.988,5.0739270724862473e+48,1143.0,1143.0,3,8,5.37106170148918e+21,5.6386987030519046e-11
69,akash,stakin,74.0,1.049,93,270437004059.0,250,0.001943,48.0,45.0,36.0,59.0,0.8135593220338984,0.75,0.7627118644067796,3,0.0,0.15,0.01662771271436569,283688417257.891,5.0739270724862473e+48,979.0,1143.0,5,16,3.9803887839894934e+23,7.127153467997508e-13
70,akash,strangeloveventures,75.0,1.049,93,253390753363.0,336,0.001821,8.0,7.0,7.0,59.0,0.135593220338983,0.875,0.1186440677966101,1,0.0032786885245901,0.1,0.01662771271436569,265806900277.787,5.0739270724862473e+48,1143.0,1143.0,3,8,21924416267032.05,0.012123784598885003
71,akash,posthumandvs,76.0,1.049,93,211476574277.0,307,0.001519,17.0,15.0,13.0,59.0,0.288135593220339,0.7647058823529411,0.2542372881355932,0,0.0,0.05,0.01662771271436569,221838926416.573,5.0739270724862473e+48,210.0,1143.0,5,25,4.849023109623797e+24,4.57491996638028e-14
72,akash,cosmonautstakesakt,77.0,1.049,93,210077529146.0,20,0.001509,14.0,13.0,10.0,59.0,0.2372881355932203,0.7142857142857143,0.2203389830508474,1,0.0,0.05,0.01662771271436569,220371328074.154,5.0739270724862473e+48,172.0,1143.0,3,1,220371328074.154,1.0
73,akash,stakewolle.com,78.0,1.049,93,199679425615.0,228,0.001435,43.0,34.0,27.0,59.0,0.7288135593220338,0.627906976744186,0.576271186440678,1,0.0,0.05,0.01662771271436569,209463717470.13495,5.0739270724862473e+48,715.0,1143.0,3,30,1.2386674289283305e+25,1.69104081190993e-14
74,akash,bitoven,79.0,1.049,93,190355135801.0,89,0.001368,48.0,45.0,41.0,59.0,0.8135593220338984,0.8541666666666666,0.7627118644067796,0,0.0,0.05,0.01662771271436569,199682537455.249,5.0739270724862473e+48,1143.0,1143.0,1,1,199682537455.249,1.0
75,akash,w3coins,80.0,1.049,93,182428956712.0,40,0.001311,18.0,14.0,12.0,59.0,0.3050847457627119,0.6666666666666666,0.2372881355932203,0,0.0,0.05,0.01662771271436569,191367975590.888,5.0739270724862473e+48,222.0,1143.0,3,11,3.3249161012379826e+24,5.755573066028192e-14
76,akash,cyphercore,81.0,1.049,93,181514511660.0,72,0.001304,36.0,33.0,30.0,59.0,0.6101694915254238,0.8333333333333334,0.559322033898305,0,0.0,0.1,0.01662771271436569,190408722731.34,5.0739270724862473e+48,1143.0,1143.0,1,12,3.1993031205872445e+22,5.951568687133019e-12
77,akash,kleomedes,82.0,1.049,93,172327547416.0,240,0.001238,16.0,12.0,9.0,59.0,0.2711864406779661,0.5625,0.2033898305084746,1,0.0,0.05,0.01662771271436569,180771597239.384,5.0739270724862473e+48,619.0,1143.0,9,20,1.2127180488258892e+24,1.4906317046604582e-13
78,akash,consensusone,83.0,1.049,93,156839889106.0,41,0.001127,3.0,2.0,2.0,59.0,0.0508474576271186,0.6666666666666666,0.0338983050847457,0,0.0008196721311475,0.05,0.01662771271436569,164525043672.194,5.0739270724862473e+48,681.0,1143.0,12,20,7.65734728114493e+22,2.1485905971290118e-12
79,akash,decentralizehk,84.0,1.049,93,150700583006.0,184,0.001083,38.0,31.0,25.0,59.0,0.6440677966101694,0.6578947368421053,0.5254237288135594,1,0.0,0.05,0.01662771271436569,158084911573.29398,5.0739270724862473e+48,914.0,1143.0,8,7,2.077965534955978e+22,7.607677264803289e-12
80,akash,gatadao,85.0,1.049,93,148524441457.0,51,0.001067,11.0,6.0,5.0,59.0,0.1864406779661017,0.4545454545454545,0.1016949152542373,0,0.0,0.05,0.01662771271436569,155802139088.39297,5.0739270724862473e+48,79.0,1143.0,5,9,2.7833682963790472e+23,5.597611329089285e-13
81,akash,dorminik,87.0,1.049,93,144873036912.0,40,0.001041,12.0,12.0,10.0,59.0,0.2033898305084746,0.8333333333333334,0.2033898305084746,0,0.0,0.099,0.01662771271436569,151971815720.688,5.0739270724862473e+48,1143.0,1143.0,5,1,151971815720.688,1.0
82,akash,israelstaking.com,88.0,1.049,93,143413722710.0,32,0.00103,3.0,3.0,3.0,59.0,0.0508474576271186,1.0,0.0508474576271186,0,0.0295081967213114,0.06,0.01662771271436569,150440995122.78998,5.0739270724862473e+48,494.0,1143.0,4,1,150440995122.78998,1.0
83,akash,coaction,89.0,1.049,93,133808884112.0,13,0.000961,5.0,5.0,3.0,59.0,0.0847457627118644,0.6,0.0847457627118644,0,0.0027855153203342,0.05,0.01662771271436569,140365519433.48798,5.0739270724862473e+48,180.0,1143.0,3,5,8.475179586257e+22,1.6561952228257071e-12
84,akash,0base.vc,90.0,1.049,93,130981346199.0,146,0.000941,54.0,51.0,44.0,59.0,0.9152542372881356,0.8148148148148148,0.864406779661017,0,0.0,0.1,0.01662771271436569,137399432162.751,5.0739270724862473e+48,1143.0,1143.0,1,22,6.260828794737349e+23,2.194588554765218e-13
85,akash,nosnode,91.0,1.049,93,126824017354.0,192,0.000911,38.0,32.0,26.0,59.0,0.6440677966101694,0.6842105263157895,0.5423728813559322,0,0.0,0.05,0.01662771271436569,133038394204.346,5.0739270724862473e+48,679.0,1143.0,11,9,3.2785407847330665e+22,4.0578538727916955e-12
86,akash,bitcat,92.0,1.049,93,112707429725.0,79,0.00081,26.0,24.0,23.0,59.0,0.4406779661016949,0.8846153846153846,0.4067796610169492,0,0.0,0.05,0.01662771271436569,118230093781.525,5.0739270724862473e+48,1143.0,1143.0,2,11,5.508022464541847e+21,2.146507109269012e-11
87,akash,kooltek68,93.0,1.049,93,110827672115.0,19,0.000796,22.0,18.0,18.0,59.0,0.3728813559322034,0.8181818181818182,0.3050847457627119,1,0.0,0.05,0.01662771271436569,116258228048.635,5.0739270724862473e+48,512.0,1143.0,2,6,2396750850573.6714,0.0485065971795976
88,akash,cryptolabtech,94.0,1.049,93,101387416663.0,23,0.000728,8.0,8.0,7.0,59.0,0.135593220338983,0.875,0.135593220338983,1,0.0,0.05,0.01662771271436569,106355400079.487,5.0739270724862473e+48,121.0,1143.0,2,3,126955265077.61154,0.8377391832821488
89,akash,chorusone,95.0,1.049,93,74484225275.0,89,0.000535,41.0,33.0,27.0,59.0,0.6949152542372882,0.6585365853658537,0.559322033898305,1,0.0,0.075,0.01662771271436569,78133952313.47499,5.0739270724862473e+48,767.0,1143.0,2,25,1.0465907758972885e+25,7.465568597858825e-15
90,akash,mantra,96.0,1.049,93,58282588436.0,80,0.000419,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0,0.0,0.05,0.01662771271436569,61138435269.364,5.0739270724862473e+48,437.0,1143.0,1,1,61138435269.364,1.0
91,akash,kalianetwork,97.0,1.049,93,51850894125.0,107,0.000373,34.0,32.0,24.0,59.0,0.576271186440678,0.7058823529411765,0.5423728813559322,0,0.0,0.05,0.01662771271436569,54391587937.125,5.0739270724862473e+48,472.0,1143.0,4,14,6.947856462136248e+20,7.828542260989844e-11
